Id,avg_sleep_time_hour,avg_time_bed_hour,avg_wasted_bed_time_min
1844505072,10.87,16.02,309
3977333714,4.88,7.68,167
1644430081,4.9,5.77,52
2347167796,7.43,8.18,44
5553957443,7.72,8.42,42
8378563200,7.38,8.05,39
6117666160,7.97,8.5,31
2026352035,8.43,8.95,31
4445114986,6.42,6.93,31
4020332650,5.82,6.32,30
5577150313,7.2,7.67,28
4319703577,7.93,8.35,25
4388161847,6.72,7.1,23
1503960366,6,6.38,22
1927972279,6.95,7.28,20
4702921684,7.02,7.35,20
6775888955,5.82,6.15,19
6962181067,7.47,7.77,18
8792009665,7.25,7.55,18
7086361926,7.55,7.77,13
4558609924,2.12,2.33,12
2320127002,1.02,1.15,8
8053475328,4.95,5.02,4
7007744171,1.13,1.18,3
