id,ActivityDate_Only,total_mets_sum,daily_calories_burned
8877689391,4/16/2016,37117,4547
5577150313,4/17/2016,36024,4552
5577150313,5/1/2016,35981,4546
8877689391,4/30/2016,35933,4398
5577150313,4/30/2016,35621,4501
5577150313,4/24/2016,34758,4392
8877689391,5/7/2016,33858,4142
5577150313,4/16/2016,33785,4274
8877689391,5/6/2016,32836,4015
1624580081,5/1/2016,32380,2690
8877689391,4/15/2016,32217,3934
8877689391,4/12/2016,32010,3921
8877689391,4/23/2016,31809,3891
5577150313,4/14/2016,31804,4022
5577150313,4/21/2016,31800,4018
5577150313,4/15/2016,31660,4005
8877689391,5/11/2016,31326,3832
8877689391,4/14/2016,31155,3793
8877689391,4/27/2016,31128,3808
8877689391,4/25/2016,31091,3802
