id,avg_daily_steps,user_type
8877689391,16040,Very Active
8053475328,14763,Very Active
1503960366,12116,Very Active
2022484408,11370,Very Active
7007744171,11323,Very Active
3977333714,10984,Very Active
4388161847,10813,Very Active
6962181067,9794,Fairly Active
2347167796,9519,Fairly Active
7086361926,9371,Fairly Active
8378563200,8717,Fairly Active
5553957443,8612,Fairly Active
4702921684,8572,Fairly Active
5577150313,8304,Fairly Active
4558609924,7685,Fairly Active
2873212765,7555,Fairly Active
1644430081,7282,Lightly Active
4319703577,7268,Lightly Active
8583815059,7198,Lightly Active
6117666160,7046,Lightly Active
3372868164,6861,Lightly Active
8253242879,6482,Lightly Active
1624580081,5743,Lightly Active
6290855005,5649,Lightly Active
2026352035,5566,Lightly Active
4445114986,4796,Sedentary
2320127002,4716,Sedentary
4057192912,3838,Sedentary
1844505072,2580,Sedentary
6775888955,2519,Sedentary
4020332650,2267,Sedentary
8792009665,1853,Sedentary
1927972279,916,Sedentary
